;gap;range_dia_anterior;atr_dia_anterior;posicao_range_d1;distancia_mm20;gap_dolar;range_dia_anterior_dolar;atr_dia_anterior_dolar;posicao_range_d1_dolar;distancia_mm20_dolar;mes_sin;mes_cos;dia_mes_sin;dia_mes_cos;dia_semana_sin;dia_semana_cos;mag_decisao_c1;mag_decisao_c2;mag_decisao_c3;mag_decisao_c4;mov_direcional_c1;mov_direcional_c2;mov_direcional_c3;mov_direcional_c4;pavio_superior_c1;pavio_superior_c2;pavio_superior_c3;pavio_superior_c4;pavio_inferior_c1;pavio_inferior_c2;pavio_inferior_c3;pavio_inferior_c4;range_candle_c1;range_candle_c2;range_candle_c3;range_candle_c4;volume_real_norm_c1;volume_real_norm_c2;volume_real_norm_c3;volume_real_norm_c4;volume_tick_norm_c1;volume_tick_norm_c2;volume_tick_norm_c3;volume_tick_norm_c4;tamanho_medio_ordem_c1;tamanho_medio_ordem_c2;tamanho_medio_ordem_c3;tamanho_medio_ordem_c4;diferenca_MA_c1;diferenca_MA_c2;diferenca_MA_c3;diferenca_MA_c4;RSI_c1;RSI_c2;RSI_c3;RSI_c4;MACD_c1;MACD_c2;MACD_c3;MACD_c4;mag_decisao_dolar_c1;mag_decisao_dolar_c2;mag_decisao_dolar_c3;mag_decisao_dolar_c4;mov_direcional_dolar_c1;mov_direcional_dolar_c2;mov_direcional_dolar_c3;mov_direcional_dolar_c4;pavio_superior_dolar_c1;pavio_superior_dolar_c2;pavio_superior_dolar_c3;pavio_superior_dolar_c4;pavio_inferior_dolar_c1;pavio_inferior_dolar_c2;pavio_inferior_dolar_c3;pavio_inferior_dolar_c4;range_candle_dolar_c1;range_candle_dolar_c2;range_candle_dolar_c3;range_candle_dolar_c4;volume_real_norm_dolar_c1;volume_real_norm_dolar_c2;volume_real_norm_dolar_c3;volume_real_norm_dolar_c4;volume_tick_norm_dolar_c1;volume_tick_norm_dolar_c2;volume_tick_norm_dolar_c3;volume_tick_norm_dolar_c4;tamanho_medio_ordem_dolar_c1;tamanho_medio_ordem_dolar_c2;tamanho_medio_ordem_dolar_c3;tamanho_medio_ordem_dolar_c4;diferenca_MA_dolar_c1;diferenca_MA_dolar_c2;diferenca_MA_dolar_c3;diferenca_MA_dolar_c4;RSI_dolar_c1;RSI_dolar_c2;RSI_dolar_c3;RSI_dolar_c4;MACD_dolar_c1;MACD_dolar_c2;MACD_dolar_c3;MACD_dolar_c4;correlacao_movel_WIN_WDO_c1;correlacao_movel_WIN_WDO_c2;correlacao_movel_WIN_WDO_c3;correlacao_movel_WIN_WDO_c4;ratio_vol_WIN_WDO_c1;ratio_vol_WIN_WDO_c2;ratio_vol_WIN_WDO_c3;ratio_vol_WIN_WDO_c4;label_Compra;label_Lateral;label_Venda
2021-03-22;0.0024165012514024337;0.016361426959465325;3367.8571428571427;0.7612732095490716;0.024693209587917177;0.0032774945375091042;0.018354430379746836;120.25;0.5763546798029556;-0.01736552308343922;1.0;6.123233995736766e-17;-0.9680771188662041;-0.2506525322587213;0.0;1.0;0.005940594059405941;0.002295067769453947;4.340277777777778e-05;0.0035587188612099642;-1;-1;1;-1;0.00021523891519586742;0.00012990949638418567;0.001953125;0.0006509851575384081;0.0004735256134309083;0.0006062443164595332;0.0024305555555555556;0.00160576338859474;0.006629358588032716;0.003031221582297666;0.004427083333333333;0.005815467407343113;0.6802090989586845;0.6576002274256638;1.419524987578305;1.5738150488804283;0.8630883662211858;0.719519673142077;1.5250359631736476;1.6084082996630857;2.768370012881688;3.204094044677249;3.2465190642467032;3.4044034209180336;-0.0021508170217680845;-0.003814621913580191;-0.004909123350163292;-0.005574912891986063;48.38709677419355;44.657534246575345;49.470499243570345;39.23865300146413;-27.072731225912577;-72.35588776597382;-97.52394474007265;-134.70786123375143;0.001088929219600726;0.004985496736765772;0.0029764589158473888;0.003075531433740389;1.0;1.0;-1.0;1.0;0.000544464609800363;0.0010877447425670776;0.000631370073058537;0.0009045680687471732;0.0023593466424682396;0.0008158085569253082;0.0017137187697303148;0.0004522840343735866;0.003992740471869328;0.006889050036258158;0.005321547758636241;0.004432383536861149;1.4102781465913103;1.5873244896408367;1.2670623120343212;1.3332640682699761;1.651449664543959;1.824016069155813;1.4949972974833492;1.4605935251041384;2.6862481932686353;2.7285804833686997;2.644671616470951;2.842336899284962;0.0022762065909274214;0.004499764488940984;0.005377641075126057;0.005681305798539093;55.47945205479452;62.09912536443148;68.05111821086263;69.96996996996997;5.799971170119868;8.884298661545738;9.481098544286429;10.635670305693228;-0.7791982449781167;-0.7758818704758885;-0.7523978024592066;-0.7264788294951213;2.3457358084476727;1.9687041301391077;5.286252801172952;5.5815018350735;False;False;True
2021-03-23;-0.00857736960665396;0.021911321566939302;3171.0714285714284;0.3143418467583497;0.008056168540860059;0.005077983315197679;0.009528130671506351;117.71428571428571;0.8571428571428571;-0.012072784316521819;1.0;6.123233995736766e-17;-0.9987165071710528;-0.05064916883871355;0.7818314824680298;0.6234898018587336;0.002577995280957791;0.001971349717439874;4.372158097236796e-05;0.001093039524309199;-1;1;-1;1;0.0019225727519007253;0.00192754194594121;0.0025358516963973417;0.0027544596012591817;0.0009612863759503626;0.0008323476584746134;0.003279118572927597;0.0017925848198670864;0.005461854408808879;0.004731239321855697;0.005858691850297307;0.005640083945435467;0.961424140323312;1.107535873056319;1.5206865894910782;1.6901143514897248;1.1484811969447792;1.2764170815301135;1.6477951244272702;1.811110356314594;2.97021908964415;3.068229658125862;3.255440831037904;3.2828553793561865;-0.0006522490423135106;-0.002735027787493713;-0.0054557202473778195;-0.003663750224434974;45.799769850402754;50.86107921928818;48.74551971326165;52.54237288135593;31.6974806996775;1.018760137542813;-16.83826480042842;-17.0690421372029;0.0007217610970768675;0.005499459069599711;0.0006345177664974619;0.00045351473922902497;1.0;-1.0;-1.0;-1.0;0.0012630819198845183;0.0006310854670032456;0.0016316171138506164;0.0009070294784580499;0.0013533020570191266;0.000721240533717995;0.001994198694706309;0.0008163265306122449;0.0033381450739805125;0.006851785070320952;0.004260333575054388;0.0021768707482993197;1.8907578610246047;2.0890882069805925;1.974880469470428;1.0744602872195441;2.0840865903985484;2.2832657198981923;2.123913145228467;1.0953374312954751;2.8252278565647324;2.837397988607905;2.8714469160349614;3.026648145487059;0.0010918780302119828;0.001228860081185438;0.001169060216679246;-0.0008973583383746539;57.07964601769911;49.42528735632183;42.97520661157025;42.10526315789475;1.8225111322906788;0.9569644895780985;0.17204781952957574;-0.48966821673146094;-0.8358458008503714;-0.7786039189675088;-0.7155800280653449;-0.6249337979758913;2.6389091294085407;2.7070011554899693;3.8906687286135524;8.0245882613604;False;True;False
2021-03-24;0.003401060070671378;0.023638905881324827;2991.0714285714284;0.20702402957486138;0.0016336014850120923;-0.003165988240615106;0.015517863587152653;110.07142857142857;0.5;-0.018520745104850012;1.0;6.123233995736766e-17;-0.9884683243281114;0.15142777750457667;0.9749279121818236;-0.22252093395631434;0.002509134128626139;0.0005708514468888596;0.00013181019332161688;0.0017573148229505316;1;-1;1;1;0.0032134524805211956;0.0003073815483247706;0.002548330404217926;0.0021966435286881643;0.0002641193819606462;0.0032494620822904317;0.0024165202108963092;0.0010104560231965556;0.0059867059911079806;0.004127695077504062;0.005096660808435852;0.004964414374835252;0.8904345943465073;1.1075223928909643;1.4709664570488796;1.6191314673423622;1.0417587172480551;1.148007802238952;1.4882071238385468;1.6133172776472815;3.0171065139131197;3.4066669680457076;3.490151880071429;3.5455683537389975;-0.0034005639959799206;-0.0016842413591095916;0.0008102817925775951;0.0017785964194174284;43.53813559322034;36.542923433874705;28.961038961038952;31.19496855345912;-119.45924512061231;-86.73969325444239;-58.074390148597615;-21.83335140829371;0.0009074410163339383;0.00018134010336385892;0.0037164612037708486;0.00018060321473722233;1.0;1.0;1.0;-1.0;0.0006352087114337568;0.0038988122223229667;0.0008158085569253082;0.0019866353621094453;0.003176043557168784;0.001994741137002448;9.064539521392314e-05;0.0013545241105291674;0.004718693284936479;0.006074893462689274;0.00462291515591008;0.0035217626873758354;1.6000305681038562;1.9319466733868784;1.5195872746202228;1.6261255956860863;1.8466011603926877;2.1995688196428693;1.5211138555557717;1.6316859245251671;2.756506291635825;2.779520189165668;3.153857081971871;3.122929685792947;0.0025586783519694132;0.0022159771955800414;0.001856367339976045;0.0017963230571611893;51.64473684210525;58.08823529411765;65.359477124183;69.93006993006993;3.5212726979505526;3.269356880660634;4.304577597565977;4.71039180237485;-0.4110968082494089;-0.44408874121347314;-0.5013420806417014;-0.5485644719940892;2.8296223098212336;2.8937348614639333;4.922856606606606;5.13232207326971;False;True;False
2021-03-25;0.00031310104217918325;0.029185191706651407;2963.5714285714284;0.05580693815987934;-0.012118816079793801;-8.884150675195451e-05;0.02749546279491833;110.89285714285714;0.8910891089108911;0.000422212839714673;1.0;6.123233995736766e-17;-0.9377521321470804;0.3473052528448203;0.43388373911755823;-0.900968867902419;0.0016097299230906814;0.0005822546692345591;0.003267681289167413;0.0012938919377147192;-1;1;1;1;0.004382042568413522;0.0009405652349173646;0.0004028648164726947;0.00174006157140945;0.004292613128241817;0.003269583911855601;0.007699194270367055;0.003524740106188373;0.01028438561974602;0.004792403816007524;0.011369740376007163;0.006558693615312542;1.3193672821073241;0.9055985685157357;1.4530591719609283;1.7466692887597322;1.6397720380632108;1.0960546562013376;1.6387038474043534;1.8194733426066962;2.8908628091989206;2.955604852782126;3.1603916007136648;3.4171620026036673;-0.010669214538795319;-0.00874365860937038;-0.005408567448454999;-0.0016239392409073967;21.016166281755204;22.120866590649953;18.883610451306424;21.86046511627906;-280.3254532920455;-265.5096444516603;-215.1185400391638;-158.6207019038685;0.004709018214127054;0.003802617615847188;0.0022903453136011278;0.0031782466672552307;1.0;1.0;-1.0;-1.0;0.00248778320746335;0.001238061549345596;0.0008809020436927414;0.0006179924075218504;0.0014215904042647713;0.0007074637424831977;0.0;0.0012359848150437008;0.008618391825855175;0.005748142907675982;0.003171247357293869;0.005032223889820782;1.8944791411168838;1.5817988068086914;1.1927935226097384;1.5874530580787871;2.0799470952870625;1.850400010545764;1.2966540517020855;1.8243492257914162;2.991712051034085;2.799797529105191;3.010931952267813;2.8323740205726167;0.004401996619895578;0.005256511907908207;0.005631094629858661;0.003995315836605377;87.03703703703704;89.77900552486187;83.10626702997276;73.78378378378378;8.444032460905856;9.458547358676864;8.563867203980177;6.18083408501024;-0.6191002294964163;-0.7021285142571967;-0.7339082677489027;-0.7738845852011358;3.5454831584290085;2.8637072798371546;6.125112491299934;5.5493097164134095;False;True;False
2021-03-26;0.0019380698586089944;0.029377571096404938;2968.214285714286;0.8812785388127854;0.004127397532390139;0.0005308794903556893;0.01137272323411817;110.5;0.5390625;0.004102363742918604;1.0;6.123233995736766e-17;-0.848644257494751;0.5289640103269624;-0.433883739117558;-0.9009688679024191;0.003077328878533433;0.00242536490717467;0.011042189080990717;0.002741275781046036;-1;1;1;1;0.0;0.0011906336817039292;0.00021996392591614976;0.0013053694195457315;0.0020222446916076846;0.0014111214005379901;0.00039593506664906955;0.00021756156992428858;0.005099573570141117;0.0050271199894165895;0.011658088073555936;0.004264206770516056;0.6956814776568027;0.8194360588116338;1.5469654835823043;1.3299794289146867;0.9144141787548634;0.9574849950748912;1.6349605890214036;1.336704170725083;2.7507151630733424;3.089322937073897;3.408957572992701;3.584216046145779;-0.00032338198762320384;-0.0011193227364263505;0.0014697492723774303;0.0049613075866058315;61.613691931540345;73.55263157894737;76.8166089965398;74.55696202531645;123.07937940810471;109.01808070562046;174.47036138651026;226.2619275680022;0.007870534135125574;0.0019303325436518383;0.0035029337069795953;0.0005272871078302136;1.0;1.0;-1.0;-1.0;0.0014149274849663955;0.0014038782135649733;0.0006130133987214292;0.0016697425081290097;0.0015033604527767952;0.0;0.0008757334267448988;0.0010545742156604272;0.010788822072868765;0.0033342107572168116;0.004991680532445923;0.0032516038316196504;1.4884487619052291;1.4269067174056544;1.275667243912972;1.1778159040414624;1.7942980345325914;1.5634970208281072;1.4236918631405726;1.2750658368521612;2.7488627569414295;3.0171754697679427;2.9505753476180963;3.036406976592724;0.0005557017928695218;0.002802346965583676;0.00429641347120913;0.003038385259435203;66.88741721854305;70.66246056782335;67.46987951807229;64.92307692307693;-1.1122532444619182;0.9258684152784795;0.6556279133235705;0.03612315875345473;0.205895081129664;0.3805552432178219;0.4951741056045983;0.5314801136982729;2.3373674741814985;2.8140083514757843;5.953372478409127;5.571104380802032;False;True;False
2021-03-29;-0.002574283345695711;0.020881874532905437;2674.285714285714;0.48210526315789476;0.006984135374612635;0.0017370158068438423;0.020074283692960736;105.35714285714286;1.0704845814977975;0.02283509954329801;1.0;6.123233995736766e-17;-0.3943558551133187;0.9189578116202306;0.0;1.0;0.0007436570428696413;0.002710145561043843;0.005960729312762973;0.002309166957127919;1;-1;1;1;0.0028433945756780404;0.0003059841762468855;0.002761220196353436;0.0016991983269431857;0.0007436570428696413;0.0026664335358657166;0.0005259467040673212;0.0012635064482398048;0.004330708661417323;0.005682563273156445;0.009247896213183731;0.00527187173231091;0.8142014428822895;1.0508327052879896;1.627817828559612;1.6676796582632873;1.0460445707967039;1.220261824198968;1.7530020785848592;1.7168251373437964;2.8147681735959207;3.101718120889094;3.333123082534166;3.4800352597179223;0.0012627918384792807;0.00019967370394723656;-1.9364083497899864e-05;0.0006423724311140231;36.41703377386197;36.310395314787705;46.69117647058824;49.535962877030165;-55.33755660886618;-83.47581778270032;-55.23047766191712;-19.803193356728656;0.0018207040055488123;0.0019041024753332178;0.0009501597996026605;0.0012944425267518121;1.0;1.0;1.0;-1.0;0.0003468007629616785;0.0014713519127574866;0.001209294290403386;0.0015533310321021747;0.001387203051846714;0.0017310022503029255;0.0011229161268031442;0.00025888850535036245;0.0035547078203572047;0.00510645663839363;0.0032823702168091906;0.0031066620642043494;1.2182311106814363;1.523361385471092;1.272273237044502;1.0464473536519519;1.3629283068728808;1.7530933966714812;1.4470543914812382;1.2684745449277428;2.9542724380552587;2.8572556722114792;2.8792765122429826;2.6819825835350417;0.002077022933794894;0.0031962681409813407;0.004199746864572494;0.004041975095288808;85.31746031746032;83.7719298245614;86.75213675213675;80.0;1.1984659643329856;2.140594052423616;2.735268767886673;2.213219917091866;0.2385650542661089;0.13467800598840027;0.13768613837672503;0.1272186957423981;3.455689358564758;3.5240562126613137;6.5764828391947034;8.395535200236518;False;True;False
2021-03-30;-0.0018164518640256034;0.017716535433070866;2539.285714285714;0.8049382716049382;0.014378418527788827;0.00017292062943109114;0.012051326512918329;102.57142857142857;0.6762589928057554;0.024619022944982596;1.0;6.123233995736766e-17;-0.20129852008866114;0.9795299412524943;0.7818314824680298;0.6234898018587336;0.001949740034662045;0.0026481441285001084;0.00526705262699691;0.005239229270404849;-1;-1;1;1;0.002123050259965338;0.0013457781636639896;0.0016105863404866582;0.0016020783719419788;0.0005632582322357019;0.001779900151942696;0.0011752927349497236;0.0021216713574366748;0.004636048526863085;0.005773822444106794;0.008052931702433291;0.008962978999783502;0.7918190077343172;1.1241675622281773;1.5163167216047206;1.9926303650619102;1.0159728286000922;1.288147899685428;1.6029174528565462;2.084868956540706;2.818972928924409;3.148215519634304;3.4051135895231477;3.4299019382001568;0.0017750765742950987;-0.00011123685712353975;-0.0008467807896229883;0.0009380503867064999;57.86259541984733;57.59878419452888;58.72781065088758;65.11919698870764;16.226936201055764;-23.755234382173427;-11.586134746624111;33.297030195572916;0.0013831258644536654;8.657259111765215e-05;0.0;0.0012984764542936288;-1.0;1.0;0.0;-1.0;0.0015560165975103733;0.0010388710934118258;0.0012984764542936288;0.0012984764542936288;0.003284923928077455;0.002337459960176608;0.0024238227146814403;0.001644736842105263;0.006224066390041493;0.003462903644706086;0.0037222991689750693;0.004241689750692521;1.9214333482077166;1.432030142208903;1.1092370351946277;1.5575729073142461;2.3662050364571297;1.6910905710436346;1.2864009204617155;1.65973041051826;2.5469271572537484;2.640657129107057;2.676365787157922;2.8989953691935324;0.0006155740227762564;0.0014619883040935498;0.0006155740227762564;0.00016372444213302303;43.83954154727794;41.66666666666667;46.97986577181208;45.7516339869281;-3.838078759939627;-3.376343622815847;-3.0485122807159293;-3.2934790063511894;-0.1843782712116457;-0.3151247544255743;-0.39238343416935834;-0.39949229124813795;2.3476858611361027;4.415847243507435;7.792338416261057;7.379315603269489;True;False;False
2021-03-31;-0.0009402914903620122;0.021880415944540727;2483.5714285714284;0.8752475247524752;0.025088914129343196;-0.00017319016279875303;0.014177040110650069;96.28571428571429;0.6219512195121951;0.021873907521561896;1.0;6.123233995736766e-17;-2.4492935982947064e-16;1.0;0.9749279121818236;-0.22252093395631434;0.0009839572192513369;0.00021411442274751628;0.0005568405722607727;0.0008990110878034162;-1;-1;1;-1;0.001625668449197861;0.0007708119218910585;0.00214169450869528;0.002739843315210411;0.0009411764705882353;0.0010277492291880781;0.0011993489248693567;0.0022261226936084594;0.003550802139037433;0.002012675573826653;0.003897884005825409;0.005864977096622287;0.7491947643337077;0.6495345101209898;1.4206627540513688;1.619303326201548;1.018553319207396;0.7425893336338222;1.481958522167473;1.603122844214594;2.659926951611893;3.1545795028941095;3.4517714798549943;3.6367721851478856;0.0008136348064405618;-0.00027126968489876187;-0.000908524432647883;-0.001095019091419839;65.26946107784431;62.06896551724138;49.15966386554622;43.650793650793645;-25.26718522952558;-47.69651512850061;-59.88552594567034;-75.41055836459412;0.0041572839078468735;0.0026091494172899633;0.00026025852346664354;0.0039028620988725065;-1.0;1.0;1.0;-1.0;0.0008661008141347653;0.002000347886588972;0.0019953153465776005;0.00026019080659150045;0.0022518621167503896;0.0;0.00026025852346664354;0.00026019080659150045;0.007275246838732028;0.004609497303878936;0.0025158323935108875;0.004423243712055508;1.5885031886073395;1.4801318249300803;0.9742798836827805;1.2358140579810342;1.8931698134105275;1.7283774840252935;1.0061128500347682;1.3268550241030381;2.5749209002447615;2.61108528556448;2.9459689821934814;2.8236053468067683;0.0017007788794185725;0.0014361168941320912;0.00046256143394034005;-7.739563682095662e-05;41.004184100418406;50.19607843137255;58.29596412556054;49.05660377358491;-0.07459476474692278;0.4398802552092407;0.7993346253545566;-0.4587550816203965;-0.6975447633242707;-0.6275501158990854;-0.5906829469914763;-0.5919823590414865;2.788732394366197;2.5701160942002583;8.611984326156826;7.793241602391101;True;False;False
2021-04-01;0.004329932264425963;0.01227807486631016;2423.9285714285716;0.8501742160278746;0.024989225953092973;-0.0010636411983690835;0.025549974016975577;96.35714285714286;0.030508474576271188;-0.0027210583368360505;0.8660254037844387;-0.4999999999999998;0.20791169081775931;0.9781476007338057;0.43388373911755823;-0.900968867902419;0.0018354889657233107;0.00042764283270612383;0.0021373001624348125;0.0039410555174777245;-1;1;-1;-1;0.0032441200324412004;0.0005131713992473486;0.0010686500812174063;0.0014993145990404386;8.537157980108423e-05;0.003335614095107766;0.0008549200649739249;0.001113776559287183;0.005164980577965595;0.004276428327061239;0.004060870308626143;0.006554146675805346;0.8183363520058834;1.075587511256489;1.3846134735499123;1.7153237471850258;0.9793961177072605;1.1554454177955018;1.4626094266898322;1.713575541808042;3.0504128915916287;3.3925917151753078;3.4482272231839457;3.644369083326578;0.0017390808530048621;0.0020518081559374197;0.001727781585560928;-2.8671368771103413e-05;53.73737373737374;44.41747572815534;45.86466165413534;45.07389162561576;-13.604407702359225;5.750278719650424;0.515861918003452;-33.259016791286115;0.004525288376220053;0.0034449253599505344;0.00044010210368805564;0.005195948921180097;1.0;1.0;-1.0;1.0;0.0013309671694764862;0.0022082854871477786;0.0010562450488513335;0.0016732716864817261;0.0032830523513753328;0.0011483084533168448;0.0013203063110641669;0.001321003963011889;0.009139307897071873;0.006801519300415158;0.002816653463603556;0.008190224570673713;1.886870896455561;1.7409361518881523;1.070145497436877;1.623725620015455;2.068836501485548;1.9284090905172457;1.1452195334806166;1.7281250874497511;2.7973922614511895;2.7585852354513674;2.8504567751226317;2.8622307632277195;-0.0018942182178646103;0.0007042253521126761;0.0029940119760479044;0.0051788252243833285;40.35532994923858;60.736196319018404;55.70469798657719;61.40350877192982;-1.9418387758047366;1.075818059432919;3.0019986448081255;6.1145949092237615;0.3806604138309902;0.3372391592068044;0.30210749545599075;0.22878144906360073;2.3243795399515736;3.2489361357338478;6.792800757814967;5.515795142001206;False;False;True
2021-04-05;0.007408052989367265;0.024202842873607376;2532.5;0.32098765432098764;0.010899152773981962;-0.0069948413045379035;0.021384205856255546;101.82142857142857;0.5145228215767634;0.004590848378165574;0.8660254037844387;-0.4999999999999998;0.8660254037844386;0.5000000000000001;0.0;1.0;0.00514750410935202;0.00030123074274894567;0.004904280490428049;8.561643835616438e-05;1;1;1;-1;0.0005190760446405398;0.0014200877872450298;0.0011615401161540115;0.0014554794520547946;8.651267410675664e-05;0.0002581977794990963;0.00043020004302000433;0.0007705479452054794;0.005753092828099316;0.0019795163094930715;0.006496020649602065;0.0023116438356164384;0.924971884796124;0.8312770358962522;1.7048162334314632;1.238817847036416;1.1420494138408357;0.8973121017159094;1.615435487844152;1.1781696046104166;2.994275271452592;3.4202355387161636;3.9050064022430626;3.894066103633082;-0.001444057131107983;0.0017542601754260314;0.0064976145287802605;0.007197153485363023;56.01092896174863;54.06562054208273;62.72264631043257;61.61879895561358;-27.312346433596616;37.19667410246197;114.26905301763571;158.22004113211491;0.0021132341287311792;0.0008787346221441124;0.005804749340369393;0.0015037593984962407;1.0;-1.0;-1.0;1.0;0.00035220568812186317;0.0001757469244288225;0.0007036059806508355;0.0005307386112339673;0.0018490798626397817;0.0037785588752196836;0.0012313104661389623;0.0005307386112339673;0.004314519679492824;0.0048330404217926184;0.007739665787159191;0.0025652366209641753;1.3452785029366239;1.3522945554964427;1.8307267329814947;1.1412605078015827;1.7173835833257192;1.7360301383996433;2.0140604322893694;1.211643411812589;2.408476085254272;2.3759640928957064;2.754117958405198;2.8433815081332767;-0.000253834363315059;-0.0021792240789601913;-0.0049933160336558076;-0.00584898624114314;47.78761061946903;47.57709251101321;36.64383561643836;37.5;2.1250552789403705;-0.04094031744264903;-3.5262262553762653;-4.967334509203084;-0.8374699306227675;-0.8337066975373431;-0.8436655109666387;-0.857228094898918;3.7434208475293382;3.382085743526855;5.113194543388149;6.010995087301419;True;False;False
